item_id,model,category,difficulty,answer_index,predicted_index,correct,unparseable,raw_response
vh_001,gpt-4o-mini,vowel_harmony,easy,3,3,True,False,4
vh_002,gpt-4o-mini,vowel_harmony,easy,1,1,True,False,2
vh_003,gpt-4o-mini,vowel_harmony,easy,3,3,True,False,4
vh_004,gpt-4o-mini,vowel_harmony,easy,2,2,True,False,3
vh_005,gpt-4o-mini,vowel_harmony,medium,1,1,True,False,2
vh_006,gpt-4o-mini,vowel_harmony,medium,1,0,False,False,1
vh_007,gpt-4o-mini,vowel_harmony,medium,3,3,True,False,4
vh_008,gpt-4o-mini,vowel_harmony,hard,3,1,False,False,2
morph_001,gpt-4o-mini,morphology,easy,2,2,True,False,3
morph_002,gpt-4o-mini,morphology,easy,1,1,True,False,2
morph_003,gpt-4o-mini,morphology,easy,0,0,True,False,1
morph_004,gpt-4o-mini,morphology,medium,2,0,False,False,1
morph_005,gpt-4o-mini,morphology,medium,2,2,True,False,3
morph_006,gpt-4o-mini,morphology,medium,3,0,False,False,1
morph_007,gpt-4o-mini,morphology,hard,0,3,False,False,4
morph_008,gpt-4o-mini,morphology,hard,1,1,True,False,2
syn_001,gpt-4o-mini,syntax,easy,0,0,True,False,1
syn_002,gpt-4o-mini,syntax,easy,1,1,True,False,2
syn_003,gpt-4o-mini,syntax,medium,1,1,True,False,2
syn_004,gpt-4o-mini,syntax,medium,0,0,True,False,1
syn_005,gpt-4o-mini,syntax,medium,3,1,False,False,2
syn_006,gpt-4o-mini,syntax,hard,2,2,True,False,3
syn_007,gpt-4o-mini,syntax,hard,3,3,True,False,4
syn_008,gpt-4o-mini,syntax,hard,0,0,True,False,1
lex_001,gpt-4o-mini,lexical_semantics,easy,3,3,True,False,4
lex_002,gpt-4o-mini,lexical_semantics,easy,2,2,True,False,3
lex_003,gpt-4o-mini,lexical_semantics,easy,0,0,True,False,1
lex_004,gpt-4o-mini,lexical_semantics,medium,3,3,True,False,4
lex_005,gpt-4o-mini,lexical_semantics,medium,0,0,True,False,1
lex_006,gpt-4o-mini,lexical_semantics,medium,1,1,True,False,2
lex_007,gpt-4o-mini,lexical_semantics,hard,2,2,True,False,3
lex_008,gpt-4o-mini,lexical_semantics,hard,1,1,True,False,2
idiom_001,gpt-4o-mini,idioms,medium,2,2,True,False,3
idiom_002,gpt-4o-mini,idioms,medium,0,0,True,False,1
idiom_003,gpt-4o-mini,idioms,medium,0,0,True,False,1
idiom_004,gpt-4o-mini,idioms,hard,0,0,True,False,1
idiom_005,gpt-4o-mini,idioms,hard,0,0,True,False,1
idiom_006,gpt-4o-mini,idioms,hard,2,2,True,False,3
idiom_007,gpt-4o-mini,idioms,hard,0,0,True,False,1
idiom_008,gpt-4o-mini,idioms,medium,0,0,True,False,1
cult_001,gpt-4o-mini,culture,easy,3,0,False,False,1
cult_002,gpt-4o-mini,culture,easy,1,1,True,False,2
cult_003,gpt-4o-mini,culture,easy,2,1,False,False,2
cult_004,gpt-4o-mini,culture,medium,0,0,True,False,1
cult_005,gpt-4o-mini,culture,medium,2,2,True,False,3
cult_006,gpt-4o-mini,culture,medium,1,1,True,False,2
cult_007,gpt-4o-mini,culture,hard,3,3,True,False,4
cult_008,gpt-4o-mini,culture,hard,2,2,True,False,3
trans_001,gpt-4o-mini,translation,easy,2,2,True,False,3
trans_002,gpt-4o-mini,translation,easy,3,3,True,False,4
trans_003,gpt-4o-mini,translation,easy,1,1,True,False,2
trans_004,gpt-4o-mini,translation,medium,1,1,True,False,2
trans_005,gpt-4o-mini,translation,medium,2,2,True,False,3
trans_006,gpt-4o-mini,translation,medium,0,0,True,False,1
trans_007,gpt-4o-mini,translation,hard,3,3,True,False,4
trans_008,gpt-4o-mini,translation,hard,2,2,True,False,3
orth_001,gpt-4o-mini,orthography,easy,1,0,False,False,1
orth_002,gpt-4o-mini,orthography,easy,0,0,True,False,1
orth_003,gpt-4o-mini,orthography,easy,3,3,True,False,4
orth_004,gpt-4o-mini,orthography,medium,3,3,True,False,4
orth_005,gpt-4o-mini,orthography,medium,1,1,True,False,2
orth_006,gpt-4o-mini,orthography,medium,3,3,True,False,4
orth_007,gpt-4o-mini,orthography,hard,1,1,True,False,2
orth_008,gpt-4o-mini,orthography,hard,2,2,True,False,3
