item_id,model,category,difficulty,answer_index,predicted_index,correct,unparseable,raw_response
gen_poss_1sg_мүлк,gpt-4o-mini,morphology,hard,1,1,True,False,2
gen_poss_1sg_көмүр,gpt-4o-mini,morphology,hard,1,1,True,False,2
gen_poss_3sg_тиеше,gpt-4o-mini,morphology,hard,2,2,True,False,3
gen_ablative_дем,gpt-4o-mini,morphology,medium,3,2,False,False,3
gen_genitive_өнөр,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_accusative_бала,gpt-4o-mini,morphology,medium,1,1,True,False,2
gen_accusative_алтын,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_locative_жума,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_locative_жумуш,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_ablative_жүгөрү,gpt-4o-mini,morphology,medium,2,3,False,False,4
gen_plural_кесип,gpt-4o-mini,vowel_harmony,easy,3,3,True,False,4
gen_accusative_жүк,gpt-4o-mini,morphology,medium,0,0,True,False,1
gen_plural_керек,gpt-4o-mini,vowel_harmony,easy,2,2,True,False,3
gen_poss_1sg_тутум,gpt-4o-mini,morphology,hard,3,0,False,False,1
gen_plural_медресе,gpt-4o-mini,vowel_harmony,easy,2,2,True,False,3
gen_genitive_буудай,gpt-4o-mini,morphology,medium,3,2,False,False,3
gen_accusative_тиеше,gpt-4o-mini,morphology,medium,1,3,False,False,4
gen_plural_жыйын,gpt-4o-mini,vowel_harmony,easy,3,1,False,False,2
gen_poss_3sg_улут,gpt-4o-mini,morphology,hard,1,1,True,False,2
gen_poss_2sg_жооп,gpt-4o-mini,morphology,hard,1,1,True,False,2
gen_accusative_чөнтөк,gpt-4o-mini,morphology,medium,1,1,True,False,2
gen_dative_түрк,gpt-4o-mini,morphology,medium,2,3,False,False,4
gen_ablative_тур,gpt-4o-mini,morphology,medium,1,1,True,False,2
gen_ablative_кабар,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_genitive_жолу,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_dative_мүлк,gpt-4o-mini,morphology,medium,1,3,False,False,4
gen_poss_3sg_чакырым,gpt-4o-mini,morphology,hard,2,2,True,False,3
gen_plural_сүрөт,gpt-4o-mini,vowel_harmony,easy,1,1,True,False,2
gen_dative_түн,gpt-4o-mini,morphology,medium,3,2,False,False,3
gen_locative_маалымат,gpt-4o-mini,morphology,medium,0,0,True,False,1
gen_accusative_отурум,gpt-4o-mini,morphology,medium,3,3,True,False,4
gen_dative_согуш,gpt-4o-mini,morphology,medium,2,0,False,False,1
gen_locative_көмүр,gpt-4o-mini,morphology,medium,3,3,True,False,4
gen_poss_1sg_тургун,gpt-4o-mini,morphology,hard,0,0,True,False,1
gen_ablative_чечим,gpt-4o-mini,morphology,medium,2,2,True,False,3
gen_poss_1sg_мелдеш,gpt-4o-mini,morphology,hard,0,0,True,False,1
gen_poss_3sg_сапар,gpt-4o-mini,morphology,hard,1,1,True,False,2
gen_accusative_күмүш,gpt-4o-mini,morphology,medium,1,3,False,False,4
gen_accusative_чарба,gpt-4o-mini,morphology,medium,0,0,True,False,1
